PID	Status	Label
-	0	com.apple.DictationIM
9063	-9	com.apple.sociallayerd
-	0	com.macpaw.CleanMyMac4.Updater
-	0	com.apple.mdmclient.agent
49653	0	com.apple.iCloudHelper
-	-9	com.apple.CharacterPicker.FileService
45766	-9	com.apple.keychainsharingmessagingd
-	0	com.apple.MessageUIMacHelperService
-	0	com.apple.cvmsCompAgent3425AMD_x86_64
-	0	com.apple.gamecontroller.ConfigService
-	0	com.apple.security.XPCKeychainSandboxCheck
-	-9	com.apple.podcasts.PodcastContentService
49649	-9	com.apple.CoreAuthentication.agent
856	0	com.displaylink.XpcService
3547	-9	com.apple.syncdefaultsd
-	0	com.apple.sidecar-display-agent
719	0	com.apple.chronod
17533	-9	com.apple.accessibility.heard
826	0	com.apple.corespeechd
19513	-9	com.apple.geoanalyticsd
-	0	com.apple.AMPSystemPlayerAgent
20562	-9	com.apple.itunescloudd
-	0	com.apple.scrod
-	-9	com.apple.spindump_agent
-	-9	com.apple.frauddefensed
864	0	85C27NK92C.com.flexibits.fantastical2.mac.helper
-	0	com.apple.AquaAppearanceHelper
18191	-9	com.apple.AuthenticationServicesCore.AuthenticationServicesAgent
-	0	com.apple.cvmsCompAgent_arm64
18170	-9	com.apple.milod
-	0	com.apple.bookdatastored
17504	-9	com.apple.security.keychain-circle-notification
-	0	com.apple.appstorecomponentsd
50632	-9	com.apple.icloud.findmydeviced.findmydevice-user-agent
23525	0	application.com.apple.findmy.1152921500311885089.1152921500311885237
-	0	com.apple.XProtect.agent.scan.startup
49557	-9	com.apple.amsengagementd
-	-9	com.apple.betaenrollmentagent
-	0	com.apple.AirPortBaseStationAgent
-	-9	com.apple.proactiveeventtrackerd
1530	0	com.apple.proactived
46330	-9	com.apple.ModelCatalogAgent
651	0	com.apple.universalaccessd
665	0	com.apple.linkd
36132	0	application.com.apple.AppStore.1152921500311879708.1152921500311879713
-	0	com.apple.accessibility.MotionTrackingAgent
14774	0	application.com.google.Chrome.3290739.550007895
-	0	com.apple.neagent
50864	-9	com.apple.SafariLaunchAgent
